whs_source_page,comments,whs_site_id,latitude,longitude,name,edited name,wikipedia_link,Country,iso_code,Criteria,Date of Inscription,size_has,Region,Edited region
http://whc.unesco.org/en/list/300,,300,46.809444,-71.210556,Historic District of Old Québec,Historic District of Old Québec,http://en.wikipedia.org/wiki/Old_Quebec,Canada,CA,"iv,vi",1985,,"Province of Quebec, City of Quebec","Province of Quebec, City of Quebec"
http://whc.unesco.org/en/list/707,,707,29.65792,91.11717,"Historic Ensemble of the Potala Palace, Lhasa","Historic Ensemble of the Potala Palace, Lhasa",http://en.wikipedia.org/wiki/Potala_Palace,China,CN,"i,iv,vi",1994,61,"Lhasa, Tibet Autonomous Region","Lhasa, Tibet Autonomous Region"
http://whc.unesco.org/en/list/345,,345,43.210556,2.358889,Historic Fortified City of Carcassonne,Historic Fortified City of Carcassonne,http://en.wikipedia.org/wiki/Carcassonne,France,FR,"ii,iv",1997,11,"Department of Aude, Languedoc-Roussillon Region","Department of Aude, Languedoc-Roussillon Region"
http://whc.unesco.org/en/list/895,,895,19.84639,-90.53722,Historic Fortified Town of Campeche,Historic Fortified Town of Campeche,"http://en.wikipedia.org/wiki/Campeche,_Campeche",Mexico,MX,"ii,iv",1999,181,State of Campeche,State of Campeche
http://whc.unesco.org/en/list/940,,940,5.82611,-55.15,Historic Inner City of Paramaribo,Historic Inner City of Paramaribo,http://en.wikipedia.org/wiki/Paramaribo,Suriname,SR,"ii,iv",2002,30,District of Paramaribo,District of Paramaribo
http://whc.unesco.org/en/list/688,,688,34.980556,135.769444,"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)","Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)","http://en.wikipedia.org/wiki/Historic_Monuments_of_Ancient_Kyoto_(Kyoto,_Uji_and_Otsu_Cities)",Japan,JP,"ii,iv",1994,1056,Kyoto and Shiga prefectures,Kyoto and Shiga prefectures
http://whc.unesco.org/en/list/870,,870,34.675556,135.839444,Historic Monuments of Ancient Nara,Historic Monuments of Ancient Nara,http://en.wikipedia.org/wiki/Historic_Monuments_of_Ancient_Nara,Japan,JP,"ii,iii,iv,vi",1998,617,Nara Prefecture,Nara Prefecture
http://whc.unesco.org/en/list/1305,,1305,34.458747,113.067719,"Historic Monuments of Dengfeng in ""The Centre of Heaven and Earth""","Historic Monuments of Dengfeng in ""The Centre of Heaven and Earth""",http://en.wikipedia.org/wiki/Dengfeng,China,CN,"iii,vi",,825,N34 27 31.49 E113 4 3.79,N34 27 31.49 E113 4 3.79
http://whc.unesco.org/en/list/604,,604,58.53333,31.28333,Historic Monuments of Novgorod and Surroundings,Historic Monuments of Novgorod and Surroundings,http://en.wikipedia.org/wiki/Veliky_Novgorod,Russian Federation,RU,"ii,iv,vi",,,N58 31 59.988 E31 16 59.988,N58 31 59.988 E31 16 59.988
http://whc.unesco.org/en/list/792,,792,20.583333,-100.366667,Historic Monuments Zone of Querétaro,Historic Monuments Zone of Querétaro,"http://en.wikipedia.org/wiki/Quer%25C3%25A9taro,_Quer%25C3%25A9taro",Mexico,MX,"ii,iv",1996,,"Etat QuerÃ©taro, municipalitÃ© de QuerÃ©taro","Etat QuerÃ©taro, municipalitÃ© de QuerÃ©taro"
http://whc.unesco.org/en/list/862,,862,18.608333,-95.658333,Historic Monuments Zone of Tlacotalpan,Historic Monuments Zone of Tlacotalpan,"http://en.wikipedia.org/wiki/Tlacotalpan,_Veracruz",Mexico,MX,"ii,iv",1998,,"State of Veracruz, Tlacotalpan Municipality","State of Veracruz, Tlacotalpan Municipality"
http://whc.unesco.org/en/list/321,,321,22.66667,89.8,Historic Mosque City of Bagerhat,Historic Mosque City of Bagerhat,http://en.wikipedia.org/wiki/Mosque_city_of_Bagerhat,Bangladesh,BD,iv,1985,,Khulna District,Khulna District
http://whc.unesco.org/en/list/747,,747,-34.467778,-57.853333,Historic Quarter of the City of Colonia del Sacramento,Historic Quarter of the City of Colonia del Sacramento,http://en.wikipedia.org/wiki/Colonia_del_Sacramento,Uruguay,UY,iv,1995,16,Department de Colonia,Department de Colonia
http://whc.unesco.org/en/list/959,,959,-33.040639,-71.628,Historic Quarter of the Seaport City of ValparaÃ­so,Historic Quarter of the Seaport City of Valparaíso,http://en.wikipedia.org/wiki/Valpara%25C3%25ADso,Chile,CL,iii,2003,23,"Fifth Region, Province ValparaÃ­so","Fifth Region, Province ValparaÃ­so"
http://whc.unesco.org/en/list/274,,274,-13.116667,-72.583333,Historic Sanctuary of Machu Picchu,Historic Sanctuary of Machu Picchu,http://en.wikipedia.org/wiki/Machu_Picchu,Peru,PE,"i,iii,vii,ix",,32592,S13 7 0 W72 34 60,S13 7 0 W72 34 60
http://whc.unesco.org/en/list/872,,872,45.76722,4.83333,Historic Site of Lyons,Historic Site of Lyons,http://en.wikipedia.org/wiki/Lyon,France,FR,"ii,iv",1998,427,"Department of RhÃ´ne, Region of RhÃ´ne-Alpes","Department of RhÃ´ne, Region of RhÃ´ne-Alpes"
http://whc.unesco.org/en/list/618,,618,48.46111,18.9,Historic Town of BanskÃ¡ Å tiavnica and the Technical Monuments in its Vicinity,Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,http://en.wikipedia.org/wiki/Bansk%25C3%25A1_%25C5%25A0tiavnica,Slovakia,SK,"iv,v",1993,20632,"Town and District of BanskÃ¡ Å tiavnica, Region of BanskÃ¡ Bystrica","Town and District of BanskÃ¡ Å tiavnica, Region of BanskÃ¡ Bystrica"
http://whc.unesco.org/en/list/482,,482,21.01694,-101.25556,Historic Town of Guanajuato and Adjacent Mines,Historic Town of Guanajuato and Adjacent Mines,"http://en.wikipedia.org/wiki/Guanajuato,_Guanajuato",Mexico,MX,"i,ii,iv,vi",1988,190,Etat de: Guanajuato. Municipalite: Guanajuato,Etat de: Guanajuato. Municipalite: Guanajuato
