_SourcePage,name,wikipedia_link,Coordinates,Country,Criteria,Date of Inscription,size_has,Ref,Region
http://whc.unesco.org/en/list/685,DoÃ±ana National Park,"http://en.wikipedia.org/wiki/Do%25C3%25B1a_Ana_County,_New_Mexico",N36 56 51.72 W6 21 31.9,Spain,(vii)(ix)(x),1994,54252.0,685.0,"Provinces of Huelva and Sevilla, Autonomous Community of Andalusia"
http://whc.unesco.org/en/list/590,Dong Phayayen-Khao Yai Forest Complex,http://en.wikipedia.org/wiki/Dong_Phaya_Yen_Mountains,N14 19 48 E102 2 60,Thailand,(x),2005,615500.0,590.0,"Provinces of Saraburi, Nakhon Nayok, Nakhon Rachisima, Prachinburi, Srakaew and Burirum"
http://whc.unesco.org/en/list/1029,Dorset and East Devon Coast,http://en.wikipedia.org/wiki/Jurassic_Coast,N50 42 20 W2 59 23.6,United Kingdom of Great Britain and Northern Ireland,(viii),2001,2550.0,1029.0,"Dorset and East Devon, England"
http://whc.unesco.org/en/list/794,Dougga / Thugga,http://en.wikipedia.org/wiki/Dougga,N36 25 24.996 E9 13 13.008,Tunisia,(ii)(iii),1997,70.0,794.0,Gouvernat de Beja
http://whc.unesco.org/en/list/1156,Dresden Elbe Valley,http://en.wikipedia.org/wiki/Dresden_Elbe_Valley,N51 2 24 E13 49 16,Germany,(ii)(iii)(iv)(v),2004,1930.0,1156.0,State of Saxony (Sachsen)
http://whc.unesco.org/en/list/899,Droogmakerij de Beemster (Beemster Polder),http://en.wikipedia.org/wiki/Beemster,N52 32 56 E4 54 40,Netherlands,(i)(ii)(iv),1999,,899.0,Province of Noord-Holland
http://whc.unesco.org/en/list/370,Durham Castle and Cathedral,http://en.wikipedia.org/wiki/Durham_Cathedral,N54 46 29 W1 34 34,United Kingdom of Great Britain and Northern Ireland,(ii)(iv)(vi),1986,8.79,370.0,"County of Durham, England"
http://whc.unesco.org/en/list/100,Durmitor National Park,http://en.wikipedia.org/wiki/Durmitor,N43 7 58.8 E19 0 59.76,Montenegro,(vii)(viii)(x),1980,32100.0,100.0,Republic of Montenegro
http://whc.unesco.org/en/list/702,Earliest 16th-Century Monasteries on the Slopes of Popocatepetl,http://en.wikipedia.org/wiki/Monasteries_on_the_slopes_of_Popocat%25C3%25A9petl,N18 56 4.992 W98 53 52.008,Mexico,(ii)(iv),1994,,702.0,"Morelos and Puebla States Municipalities: Atlatlauhcan, Cuernavaca, Tetela del Volcan, Yautepec, Ocuituco, Tepoztlan, Tlayacapan, Totolapan, Yecapixtla and Zacualpan de Amilpas in Morelos. Calpan, Huetotzingo and Tochimilco in Puebla."
http://whc.unesco.org/en/list/788,Early Christian Monuments of Ravenna,http://en.wikipedia.org/wiki/Ravenna,N44 25 13.5 E12 11 46.5,Italy,(i)(ii)(iii)(iv),1996,1.32,788.0,"City and Province of Ravenna, Emilia-Romagna Region"
http://whc.unesco.org/en/list/853,Early Christian Necropolis of Pécs (Sopianae),http://en.wikipedia.org/wiki/P%25C3%25A9cs,N46 4 27.984 E18 13 40.008,Hungary,(iii)(iv),2000,3.76,853.0,County of Baranya
http://whc.unesco.org/en/list/854,East Rennell,http://en.wikipedia.org/wiki/East_Rennell,S11 40 59.988 E160 19 59.988,Solomon Islands,(ix),1998,37000.0,854.0,"Southernmost of the Solomon Islands, Rennell and Bellona Province"
http://whc.unesco.org/en/list/1147,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,http://en.wikipedia.org/wiki/Lop%25C3%25A9_National_Park,N0 30 0 E11 30 0,Gabon,(iii)(iv)(ix)(x),2007,491291.0,1147.0,OgouÃ©-Ivindo and OgouÃ©-Lolo Provinces
http://whc.unesco.org/en/list/631,"El Tajin, Pre-Hispanic City",http://en.wikipedia.org/wiki/El_Taj%25C3%25ADn,N20 28 35.004 W97 22 39,Mexico,(iii)(iv),1992,,631.0,"Etat de Veracruz, municipalitÃ© de Papantla"
http://whc.unesco.org/en/list/244,Elephanta Caves,http://en.wikipedia.org/wiki/Elephanta_Caves,N18 58 0.012 E72 56 8.988,India,(i)(iii),1987,,244.0,"Maharashtra State, District Kolaba (Island of Elephanta)"
http://whc.unesco.org/en/list/243,Ellora Caves,http://en.wikipedia.org/wiki/Ellora_Caves,N20 1 35.004 E75 10 45.012,India,(i)(iii)(vi),1983,,243.0,"Maharashtra State, Aurangabad District, Khulatabad Taluk , Verul Village"
http://whc.unesco.org/en/list/556,Engelsberg Ironworks,http://en.wikipedia.org/wiki/Engelsberg_Ironworks,N59 58 0.012 E16 0 29.988,Sweden,(iv),1993,,556.0,VÃ¤stmanland
http://whc.unesco.org/en/list/982,Ensemble of the Ferrapontov Monastery,http://en.wikipedia.org/wiki/Ferapontov_Monastery,N59 57 0 E38 34 0,Russian Federation,(i)(iv),2000,,982.0,Vologda region
http://whc.unesco.org/en/list/1097,Ensemble of the Novodevichy Convent,http://en.wikipedia.org/wiki/Novodevichy_Convent,N55 43 34 E37 33 18.3,Russian Federation,(i)(iv)(vi),2004,5.18,1097.0,City of Moscow
http://whc.unesco.org/en/list/1337,Episcopal City of Albi,http://en.wikipedia.org/wiki/Albi,Date of Inscription: 2010,France,(iv)(v),,19.0,1337.0,N43 55 42 E2 8 33
http://whc.unesco.org/en/list/809,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of PoreÄ,http://en.wikipedia.org/wiki/Pore%25C4%258D,N45 13 45.012 E13 35 39.984,Croatia,(ii)(iii)(iv),1997,1.1,809.0,County of Istria
http://whc.unesco.org/en/list/1158,Etruscan Necropolises of Cerveteri and Tarquinia,http://en.wikipedia.org/wiki/Tarquinia,N42 0 24.6 E12 6 6.8,Italy,(i)(iii)(iv),2004,21.0,1158.0,"Provinces of Rome and Viterbo, Region of Latium"
http://whc.unesco.org/en/list/76,Everglades National Park,http://en.wikipedia.org/wiki/Everglades_National_Park,N25 33 16 W80 59 47,United States of America,(viii)(ix)(x),1979,592920.0,76.0,"Southern tip of the Florida peninsula, along the Gulf of Mexico, State of Florida"
http://whc.unesco.org/en/list/19,"Fasil Ghebbi, Gondar Region",http://en.wikipedia.org/wiki/Fasil_Ghebbi,N12 36 24.912 E37 27 58.212,Ethiopia,(ii)(iii),1979,,19.0,Amhara Region
http://whc.unesco.org/en/list/255,Fatehpur Sikri,http://en.wikipedia.org/wiki/Fatehpur_Sikri,N27 5 39.984 E77 39 51.012,India,(ii)(iii)(iv),1986,,255.0,"Uttar Pradesh, Agra District"
http://whc.unesco.org/en/list/733,"Ferrara, City of the Renaissance, and its Po Delta",http://en.wikipedia.org/wiki/Ferrara,N44 50 16 E11 37 10,Italy,(ii)(iii)(iv)(v)(vi),1995,46712.0,733.0,"City and Province of Ferrara, Emilia-Romagna Region"
http://whc.unesco.org/en/list/772,FertÃ¶ / Neusiedlersee Cultural Landscape,http://en.wikipedia.org/wiki/Lake_Neusiedl,State of Burgenland (AT) / County of GyÃ¶r-Moson-Sopron (HU),Austria,(v),2001,52.0,772.0,[hu.gif] Hungary
http://whc.unesco.org/en/list/855,Flemish Béguinages,http://en.wikipedia.org/wiki/B%25C3%25A9guinage,N51 1 51.5 E4 28 25.5,Belgium,(ii)(iii)(iv),1998,60.0,855.0,"Flanders Region, Provinces of Antwerp, Limburg, Eastern Flanders, Western Flanders, and Flemish Brabant"
http://whc.unesco.org/en/list/171,Fort and Shalamar Gardens in Lahore,http://en.wikipedia.org/wiki/Shalimar_Gardens_(Lahore),N31 35 25 E74 18 35,Pakistan,(i)(ii)(iii),1981,,171.0,"Lahore, Punjab"
http://whc.unesco.org/en/list/1283,Fortifications of Vauban,http://en.wikipedia.org/wiki/Fortifications_of_Vauban,Date of Inscription: 2008,France,(i)(ii)(iv),,1153.0,1283.0,N50 16 57 E2 45 32
http://whc.unesco.org/en/list/135,Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,"http://en.wikipedia.org/wiki/Portobelo,_Col%25C3%25B3n",N9 33 14 W79 39 21,Panama,(i)(iv),1980,,135.0,Province of Colon - Distric of Cristobal
http://whc.unesco.org/en/list/583,Fortress of Suomenlinna,http://en.wikipedia.org/wiki/Suomenlinna,N60 8 49.992 E24 59 13.992,Finland,(iv),1991,,583.0,"Helsinki Harbour, Region of Uusimaa, Province of Southern Finland"
http://whc.unesco.org/en/list/34,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",http://en.wikipedia.org/wiki/List_of_castles_in_Ghana,N5 23 27.708 E0 29 36.996,Ghana,(vi),1979,,34.0,"Volta, Greater Accra, Central and Western Regions"
http://whc.unesco.org/en/list/915,"Fossil Hominid Sites of Sterkfontein, Swartkrans, Kromdraai, and Environs",http://en.wikipedia.org/wiki/Cradle_of_Humankind,S24 9 30.996 E29 10 36.984,South Africa,(iii)(vi),1999,,915.0,"Gauteng, Limpopo and North-west provinces"
http://whc.unesco.org/en/list/1079,Franciscan Missions in the Sierra Gorda of Querétaro,http://en.wikipedia.org/wiki/Franciscan_Missions_in_the_Sierra_Gorda,N21 12 15.8 W99 27 50.8,Mexico,(ii)(iii),2003,104.0,1079.0,State of QuerÃ©taro de Arteaga (Sierra Gorda region)
http://whc.unesco.org/en/list/630,Fraser Island,http://en.wikipedia.org/wiki/Fraser_Island,S25 13 0 E153 7 60,Australia,(vii)(viii)(ix),1992,254283.0,630.0,State of Queensland
http://whc.unesco.org/en/list/203,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",http://en.wikipedia.org/wiki/Royal_Saltworks_at_Arc-et-Senans,Date of Inscription: 1982,France,(i)(ii)(iv),2009,10.0,203.0,N46 56 15 E5 52 35
"http://whc.unesco.org/en/list/430
http://whc.unesco.org/en/list/430",Frontiers of the Roman Empire,http://en.wikipedia.org/wiki/Limes,N54 59 33.4 W2 36 3.6,Germany,(ii)(iii)(iv),1987,527.0,430.0,[gb.gif] United Kingdom of Great Britain and Northern Ireland
http://whc.unesco.org/en/list/883,Fuerte de Samaipata,http://en.wikipedia.org/wiki/El_Fuerte_de_Samaipata,S18 10 0 W63 49 0,Bolivia (Plurinational State of),(ii)(iii),1998,,883.0,"Province of Florida, Department of Santa Cruz"
http://whc.unesco.org/en/list/1113,Fujian Tulou,http://en.wikipedia.org/wiki/Fujian_Tulou,Date of Inscription: 2008,China,(iii)(iv)(v),,153.0,1113.0,N25 1 23 E117 41 9
